post_text,timestamp,comments,reactions,shares,has_media
"t's National School Choice Week, January 6 - February 1!!  Have you wondered about what choices you have for your child ? Join us for a free virtual information session on either 1/29 @ 12pm or 1/30 @ 7pm where we'll cover all of your choices, next steps, and some helpful resources. Sign up today by going to https://go.hilltopheroes.org/virtual-session",jan 26 25,0,0,1,y
"So grateful for another Hilltop Hero making a difference! Thank you, Michael Bongiorni! 
Learn more about how you can support our mission too by going to https://hilltopheroes.org or 860-544-2225",jun 12 24,0,1,1,y
"Hilltop Academy, offering a personalized approach that allows each learner to shine! Visit us at https://hilltopheroes.org to learn more.
#personalizedlearning #hilltopheroes #Hilltopacademy #studentagency #learningcanbefun #spiritmindbody #EducationRevolution #learningthroughplay #natureisourclassroom #everyonematters",jun 10 24,0,3,13,y
"...and I would argue, ""seeing"" them and giving attention helps them grow their inner hero that's waiting to unfold. This is how we help them develop confidence  on their individual journey to discovering  and following a life of purpose . 
Learn about Hilltop Academy's mission to see, hear, and understand each learner, honoring the hero that resides in each ONE by going to https://hilltopheroes.org
#personalizedlearning #hilltopheroes #Hilltopacademy #independentschool #StudentVoice #learningcanbefun",jun 5 24,0,1,4,y
"Why connect young people with nature ? Over the years, the amount of time they are out in nature has been shrinking. So what? The impact is on mental and social health, attention, engagement, curiosity, creativity, learning, growing, connecting, and caring for the natural environment . Check out Richard Louv's book, ""Last Child in the Woods"", to learn more.
Hilltop Hallmark: Using nature as our classroom 
You can learn more about all of our hallmarks by visiting us: https://hilltopheroes.org
#natureisourclassroom #hilltopheroes #Hilltopacademy #spiritmindbody #independentschool #individualizedlearning #StudentVoice",jun 3 24,4,6,3,y
"I  that someone tagged me with the post below, totally connecting this with Hilltop Academy.We are on a mission to help learners unearth and follow their interests, passions, talents, and gifts, supporting their journeyto a life of purpose. You can learn more by visiting us at www.hilltopheroes.org or 860-544-2225.
#individualizedlearning #natureisourclassroom #StudentVoice #hilltopheroes #Hilltopacademy",may 28 24,0,11,4,y
"Another Hilltop Hero we are so grateful for! Thank you KJ LaDunphy for your big heart!!  Your donation makes a difference! 
Learn more about how you too can support our cause by going to www.hilltopheroes.org or  860-544-2225",may 9 24,1,2,1,y
"Our Hilltop Hero Community continues to grow! Thank you Vilenti Tulloch and Yeselie Tulloch ! 
Your donation makes a difference!
Learn more about how you can support our cause by going to www.hilltopheroes.org or call  860-544-2225.",may 7 24,0,0,5,y
"A little more than a month ago, I shared a post introducing myself and Hilltop Academy , which is a new, independent, nonprofit, K-12 school, here in northern CT. Since then, I have had so much fun meeting so many new families, hearing incredible heartfelt stories , and receiving amazing kindness and support !! 
We are enrolling students in grades 3-7 for the 2024-2025 school year.
If you've been looking for something different for your child, we'd love to tell you all about what sets us apart. Visit us at https://hilltopheroes.org or call us 860-544-2225 to schedule an information session. 
What's the image? Just one of the regulars we see on our walks on the Windsor Locks Canal! One of my most favorite places to walk. Cannot wait for a field trip here!!  (a few of the other regulars )",may 6 24,2,7,9,y
"How fortunate are we to be celebrating yet another Hilltop Hero! Julissa Arce  thank you for your donation, love, and support!!
Learn how you too can help support our cause or join our growing community by going to https://hilltopheroes.org or call 860-544-2225.
#hilltopheroes #alternativeeducation #EducationRevolution #individualizedlearning #independentschool",apr 30 24,0,4,3,y
Growing our community of #hilltopheroes !!,apr 28 24,0,0,0,y
"So grateful for continued love and support! Gwendolyn Levine   Want to learn how you can support our mission too or become a part of Hilltop Academy? Visit us at www.hilltopheroes.org or call us at 860-544-2225.
#hilltopheroes #hilltopacademy #alternativeeducation #independentschool #learningcanbefun #individualizedlearning #educationrevolution #ReImaginingEducation",apr 23 24,0,4,1,y
"Imagine a school...
that puts adventure, fun, and joy back into learning and is affordable and accessible. 
If your child is entering grades 3-7 and lives in Western MA or Northern CT, we are the school you’re looking for!
Hilltop Academy is a new, independent, nonprofit school, offering an educational experience that is different from traditional school programs.
We know the traditional approach is not the best fit for every child. So we’ve tailored a school experience that allows each student to be successful in their unique way of learning. 
 Learn more about us and how you can participate in our school by visiting us online!
https://hilltopheroes.org/hallmarks
Thank you for the continued love and support ! We'd love your help spreading the word by sharing!",apr 12 24,0,0,4,y
"Have you been searching for a different school experience for your child that puts adventure, fun, and joy back into learning and is affordable and accessible? Do you have a child going into grades 3-7? If so, and you live in the Western Massachusetts or Northern Connecticut area, we are the school you’ve been looking for! 
Hilltop Academy is a new, independent, nonprofit school, offering an educational experience that is different than traditional school programs. 
Want to learn why we are different? How we are different? What makes us different? 
Schedule a personal informational session today: Go to www.hilltopheroes.org or call (860)544-2225
So grateful for your support- share, follow, like!! Thank you so much!!  
#hilltopacademy #hilltopheroes #alternativeeducation #individualizedlearning #learningcanbefun #independentschool #reimaginingeducation",apr 10 24,0,4,4,y
