post_text,timestamp,comments,reactions,shares,has_media
Lower School science teacher Mrs. Madore was an excellent sport during this year’s 5th grade movie theater skit. What a fun tradition!,jul 1 25,1,5,0,y
"Just One Week Left to Double Your Impact!
There’s only one week left to make your donation go twice as far to support The Master's School students, teachers and mission through our $50,000 Matching Gift Campaign!
Thanks to your generosity, we've already raised $32,450 — we're so close to our goal! Every dollar you give will be matched 1:1, but only until June 30, 2025.
Help us reach the goal! 
Donate Now at https://masterschool.myschoolapp.com/.../donate-online",jun 25 25,0,3,2,y
"When you pay attention to what a child needs now, you pay attention to what they need for life. For over 55 years, The Master’s School has been partnering with families for the intentional development of the whole child during their unique and critical preschool years. To learn more about the impact we can make for your child, visit us at https://www.masterschool.org/ or contact us at admissions@masterschool.org.",jun 24 25,3,17,22,y
"The Lower School concluded the year with Certificate Ceremonies, where teachers honored each of their students by presenting them with a unique certificate of appreciation. Fifth grade students were specially honored as they came to an end of their time in the Lower School. It was a precious time for families to hear some of the many things the Lower School teachers appreciate about their child.",jun 20 25,1,26,0,y
"Congratulations to the 8th graders who graduated into high school at our Grade 8 Commencement! The ceremony included scripture readings and musical performances by students as well as a memories slideshow and students presenting flowers to loved ones they wanted to honor. Middle School teachers spoke about each student, demonstrating just how well-known, well-taught and well-loved they are. 
Eighth grader Acadia addressed her fellow classmates when she said, “Some people say to let go or grow up, but I say no. I say live your life to the fullest, stay young and live. God wants us to value each opportunity we have. These years I have spent at The Master’s School have shaped me, formed me, and put me on the path towards the adult I will be in the future. God has blessed me with this opportunity to be at The Master’s School and with blessed me with the amazing teachers and friends I have made.” 
Eighth grader Grace reflected, “In John Chapter 16, Jesus said this, ‘I have told you these things so that in me you may have peace. In this world you will have trouble, but take heart! I have overcome the world.’ He didn’t say it would be easy. He didn’t say we’d know it all. He said we’d have trouble. That we’d struggle. That we’d make mistakes, have to turn around and completely restart. But we don’t have to fear when trouble arises, because that’s not the end of the story. Jesus has already overcome it all, so who are we to worry? Every step of the way, He’ll be by my side, and when I fall, He’ll be nearby to pick me back up. The God who created the entire universe will protect me when I’m faced with challenges I can’t overcome alone.” 
Congratulations to all! May God bless you as you begin high school.",jun 18 25,3,30,1,y
"The Master’s School Class of 2025 gathered with their friends and families at Valley Community Baptist Church in Avon, CT on Saturday, June 7 for the school’s 54th Commencement.
TMS Board Chairman Todd Shelansky opened the ceremony by challenging the Class of 2025 to build habits now to block out the “noise” of the world that drowns out God’s voice and pulls you off the path. “Spend time with God daily in His Word and in prayer so that you are able to hear and recognize God’s voice and His leading,” Shelansky said. “Save, invest, and give generously. Do the hard work in front of you with excellence – it lays the foundation for success.”
Each of the graduates was recognized and uniquely honored by a faculty member who noted the graduate’s admirable qualities, accomplishments, and future plans. Each faculty member also reflected on the special relationship he or she had developed with the student he or she was honoring.
The ceremony included speeches from several students reflecting on their high school experience and thanking their families, teachers and classmates. Class Salutatorian Jayden Martey shared, “I’ve formed friendships I know I will have for years from now, and I’ve had mentors and teachers who saw something special in me even when I didn’t see it in myself. Sometimes all you really need is someone to have your back in order to really change things.”
Ceremony highlights also included both vocal and instrumental student performances, scripture readings by students and a video montage of the graduates during their years at The Master’s School. Each graduate was presented with their diploma as well as their unique Class of 2025 medallion designed by senior art student Abigail Hinds. 
Head of School Kevin D. Case closed out the graduation ceremony with his Charge to the Class of 2025. “I challenge each of you to discover the inner leader within you. Always strive for excellence every day. Do not settle for mediocrity.” Case challenged the Class of 2025 to “connect and care for people, intentionally share positive thoughts, add value to others, and bring salt and light to people repeatedly.”",jun 12 25,3,29,1,y
"The Upper School faculty would like to recognize junior Halle as the May Lion of the Month. Halle has ended the year with excellence both academically and through service. Teachers from each division commented on how indispensable she was during our all-school field day. Halle displayed compassion and enthusiasm to our Middle and Lower School students while maintaining such a professional demeanor that more than one teacher commented how ""it was like having another teacher in the group."" Congratulations, Halle!
Middle School teachers are excited to announce that grade 6 student Heather has been selected as Student of the Month for May. Heather is creative, self-motivated, and a dedicated student. Congratulations, Heather!",jun 10 25,2,27,1,y
"Grade 5 students and Lower School teachers gathered for the annual Fifth Grade Dinner, honoring the students’ work and their community. The evening culminated with each student delivering a poem or speech reflecting on their time so far at the The Master’s School.",jun 9 25,1,31,0,y
"Academic and Athletic achievements by Upper School students were recognized at The Master’s School annual awards ceremony. Donor scholarships and awards presented included the Faye M. Philipp Belman Memorial Book Award, Harvard Prize Book Award, Lauren E. Avezzie Scholarship Award, Bob & Betty Jacks Scholarship Award and more. Academic awards were presented to outstanding students in each area of study and Athletic awards were given to students who demonstrated exceptional sportsmanship and athletic achievements. Select students also earned Master’s Student Awards for living out their lives in all areas in a way that is honoring to God and representative of the values taught at The Master’s School. Congratulations to all!",jun 6 25,0,26,0,y
"The seniors took their final walk through campus to the applause, cheers and high fives of the entire school community. Congratulations to The Master's School Class of 2025! Join them Saturday, June 7 at 10 a.m. at Valley Community Baptist Church in Avon, CT as they graduate from high school and journey forward to fulfill God's call on their lives.",jun 5 25,7,58,4,y
Students in Mr. Zinck's Anatomy and Physiology class conclude the year by applying all they have learned by dissecting a rat.,jun 3 25,1,16,0,y
"The Master’s School is looking for teachers to join our Middle and Upper School Science and Math Teams!
If you or someone you know is passionate about teaching science and/or math from a Biblical worldview, please apply today using the link below.
Please visit https://www.masterschool.org/abo.../employment-opportunities to review the job description for required qualifications, skills and personal qualities.",jun 2 25,1,8,25,y
"The Kindergarten students had such a rewarding experience studying ocean animals! They each researched an animal, took notes, made graphic organizers and used the information gathered to make a book. This all culminated in a fun walk through where they shared their work and knowledge with the rest of the Lower School and their parents.",may 28 25,0,15,1,y
Grade 6 students are exploring the culture and beliefs of Ancient Egypt. Each student designed and created his or her sarcophagus and presented to their class.,may 27 25,0,18,0,y
"The Master’s School Spring Concert, “Journey, Part II: Finding Life”, featured musical performances from Aria (Upper School choir), Cantante Deo (Middle School choir), Leading Tones (Grade 3-5 choir), and Chamber Music instrumentalists (led by Tracy Norkun). The character Journey, played by Saylor, found “Life” by learning about the price Jesus paid for us on the cross. The characters Hope, Peace, Joy, and Love (played by Ruby, Grace, Olivia, and Acadia), first disguised as Anxiety, Loneliness, Sorrow, and Suffering helped Journey find The Way in an original theatrical script written by Director of Fine Arts, Michelle Davis. The audience was also treated to a prelude to the concert performed by our newest choir, Grace Notes (Grade EK-2), led by Faith Jorgensen and our Grade 2 and Grade 3 violins, led by Elliott Davis. Bravo to all involved!",may 23 25,0,27,2,y
Lives are transformed at The Master's School. Learn more at https://www.masterschool.org/,may 22 25,2,22,1,y
"Thank you to all of our parents who helped make Teacher Appreciation Week so special for our wonderful teachers! From providing breakfast and lunch foods and supplies, to sending your children in with flowers, to stocking ""The Kindness Cart"" with goodies, our teachers were blessed!",may 21 25,0,19,0,y
TMS seniors and juniors dressed to impress for this year’s Banquet.,may 19 25,0,25,1,y
"Dressed in their finest bow-ties, our Academy students welcomed their grandparents on campus to enjoy an afternoon together. The students took on the role of perfect hosts-serving tea and treats, conducting interviews with their grandparents, taking photos and creating crafts together. Special memories were made as generations came together.",may 16 25,0,12,0,y
"The Theater Production Class had their ""frosting on the cake"" after including scenes from Romeo and Juliet in their Spring Production of In Fair Verona. The students enjoyed the privilege of a field trip to Hartford Stage to see a professional production of Romeo and Juliet. The class was enthralled by the show from start to finish, with acting that truly brought Shakespeare to life. Breaking from tradition, the play was set in 19th Century Mexico with amazing sets and glorious, colorful costumes. It was experience that will not be forgotten. They are very thankful to Mr. Case and Mrs. Davis for making this trip a reality!",may 15 25,0,24,2,y
"Middle School students planned and led their weekly chapel - including worship, a message, and student-led discussion groups. What a blessing!",may 13 25,3,23,0,y
"Grade 10 World History students stepped out of the classroom and into the fields for an immersive experience on World War I and trench warfare. With the sun shining and a warm breeze, they participated in an outdoor reenactment allowing them to engage with the material in a hands-on way. Students constructed makeshift trenches and took on roles from that historical period, gaining insight into the challenges soldiers faced. 
To enhance the realism, students wore helmets and carried weighted backpacks, simulating all that a soldier had to carry during WWI. The field was transformed into a recreated no man's land, where they bravely navigated their surroundings. To mimic the dangers of combat, they used reusable water balloons as grenades, adding an exciting twist to their strategies. 
Not only did the students have a blast working together and strategizing, but they also cooled down on a hot day, turning learning into a memorable adventure. It was incredible to see their enthusiasm and camaraderie as they brought history to life!",may 9 25,3,21,2,y
"The Upper School faculty would like to recognize senior Haley as the April Lion of the Month. Haley has served the entire TMS community all year with her work on Student Life and volunteering in the Lower School. She also spent countless hours making Spiritual Focus Week a success. Haley's efforts have been invaluable to the community. Congratulations, Haley!
Middle School teachers are excited to announce that grade 8 student Sarah has been selected as Student of the Month for April. Sarah is a compassionate, dedicated, and conscientious student. Her faithful, servant’s heart blesses all of us. Congratulations, Sarah!",may 8 25,6,13,0,y
