post_text,timestamp,comments,reactions,shares,has_media
Ms. Garcia matching with Dylan #mmbgrowingandglowing #wearehps,jun 17 24,0,15,0,y
"Reading makes you glow, Oh the places you will go!  Reading around the world #mmbgrowingandglowing #wearehps #drseuss",jun17 24,0,4,0,y
Ms. Wienners Class admiring their figurative language bulletin board  #mmbgrowingandglowing #wearehps,jun 17 24,1,2,0,y
Multicultural Day!  #mmbgrowingandglowing #wearehps #multicultural,jun 17 24,0,4,0,y
Ms. Kelsey’s Mighty Bunch- Social Learning Board Games #mmbgrowingandglowing #wearehps #socialemotionallearning,jun 17 24,0,1,0,y
"Ms. Tracy working hard with our soon to be 1st Graders  #mmbgrowingandglowing #wearehps



All reactions:1616",jun 17 24,1,16,0,y
Ms. Burgos 4 year olds working on Math #mmbgrowingandglowing #wearehps #montessori,jun 17 24,0,5,0,y
"Our Primary students showing off their skills #mmbgrowingandglowing #wearehps







All reactions:44",jun 17 24,0,4,0,y
Earth Day 2024 #mmbgrowingandglowing #wearehps #EarthDay,jun 17 24,0,5,0,y
Baking club  #mmbgrowingandglowing #wearehps,jun 17 24,0,12,0,y
"Auer Farms was a blast! 4-H Education Center at Auerfarm #mmbgrowingandglowing #wearehps





+18


All reactions:1111",may 22 24,1,11,2,y
Tie-Dye day was TOTALLY AWESOME #tiedyefashion #mmbgrowingandglowing #wearehps,may 22 24,0,9,0,y
#Multiculturalday #wearehps #mmbgrowingandglowing,may 22 24,0,21,2,y
"What did one hat say to the other?
“Stay here! I’m going on ahead.” - 
Happy hat and sock day!  #mmbgrowingandglowing #wearehps #hatandsockday",may 13 24,0,12,0,y
"You cannot get through a single day without having an impact on the world around you. What you do makes a difference and you have to decide what kind of a difference you want to make.”
—Jane Goodall 
Making everyday Earth Day! 
#EarthDay2024 #earthdayeveryday #wearehps #mmbgrowingandglowing",apr 23 24,0,25,0,y
Today is Earth Day!  We can’t wait to show you what we’ve been working on. #mmbgrowingandglowing #wearehps,apr 22 24,0,3,1,y
"When 4-H Education Center at Auerfarm   comes to visit our primary classes and brings a friend so we can meet him #wearehps #mmbgrowingandglowing




+7


All reactions:1616",apr 19 24,1,16,0,y
Ms. Martins class prepping for Earth Day ARE YOU READY?  #mmbgrowingandglowing #wearehps,apr 17 24,0,7,0,y
Ms. Kelsey’s Afterschool SEL Mighty Bunch working on their own board game #wearehps #mmbgrowingandglowing,apr 17 24,0,6,0,y
"Confidence level on 100, but our hair is on another level! CRAZY HAIR DAYYYYY coming in strong and creative #wearehps #mmbgrowingandglowing",apr 17 24,1,20,2,y
"What is Ms. Yessi and Za’myrah whispering about? Maybe it’s about a🐸! Shoutout to paraprofessional Ms. Yessi for 🗣️teaching her students a Spanish nursery rhyme🎶  #wearehps #mmbgrowingandglowing See less
Montessori Magnet at Batchelder · Original audio
Montessori Magnet at Batchelder · Original audio
Montessori Magnet at Batchelder · Original audio",apr 17 24,8,42,1,
"Perfect Attendance acknowledgment! Almost half of our Upper Elementary students had perfect attendance for the month of February!  We’re striving on increasing our attendance 
Keep up the great work #mmbgrowingandglowing #wearehps #ATTENDANCE #acknowledgement",mar 20 24,0,19,0,y
&     #mmbgrowingandglowing #wearehps,mar 20 24,0,12,0,y
"Ms. Alyssa and Ms. Cleo’s bakers for afterschool. 
Our Lower Elementary students making rice crispy treats and no-bake chocolate pudding cups! 
Attached to this post are the recipes for both desserts, as well as the math to understand the importance of measurements when baking!
#mmbgrowingandglowing #wearehps #studentbakers #bakers #fypシ",mar 19 24,0,10,0,y
Our readers at work #mmbgrowingandglowing #wearehps #readers,mar 18 24,0,9,0,y
When our staff go above and beyond to make sure you get your favorite smencil (aka smelly pencils) scent!  #mmbgrowingandglowing #wearehps #smencils,mar 18 24,0,7,1,y
When Upper Elementary students get certificates for perfect attendance for the month of February!  #wearehps #mmbgrowingandglowing,mar 14 24,0,11,0,y
"What a SIGHT!
The way our hearts melt when our Upper EL classes read to our Primary classes
We have some super readers and super listeners
#mmbgrowingandglowing #wearehps #readingacrossamerica",mar 8 24,0,17,1,y
"What’s a VR headset’s favorite type of music? Heavy metal 
Thank you to Hartford Public Schools and to Hartford Public Library  Our 6th graders had a blast! 
#mmbgrowingandglowing #wearehps",mar 5 24,0,12,1,y
Nikai wants to show off his addition!  #mmbgrowingandglowing #wearehps,feb 15 24,1,12,1,y
"We GROW love, kindness, and fairness #mmbgrowingandglowing #love #wearehps",feb 15 24,0,3,0,y
"SCHOOL DANCE WAS A SUCCESS 
#mmbgrowingandglowing #wearehps #schooldance




+6


All reactions:1616",feb 15 24,3,16,0,y
"I love you from my head to my tomatoes
Happy Red and Pink Day! #mmbgrowingandglowing #wearehps #WonderfulWednesday",feb 9 24,0,19,0,y
days later…  days smarter! #mmbgrowingandglowing #100daysold #wearehps,31 jan 24,0,8,0,y
