post_text,timestamp,comments,reactions,shares,has_media
"Congratulations to our 9th year graduate, Eli! We are so proud of you! We know your next chapter will be just as amazing as you",jun 13 25,1,14,0,y
"Congratulations to our 9th year graduate, Piper! We are so proud of you! Your talent and hard work will take you far",jun 11 25,2,28,0,y
"Congratulations are in order for our 9th year graduate, Maya! We are so proud of you and know you will spread your wings to do amazing things!",jun 9 25,4,35,0,y
Adolescents take NYC!!,may 30 25,0,17,0,y
"Our ongoing community art project beautifully captures the spirit of our school! Each of these blue, white and orange wooden flowers represents what MSGH means to someone. Featuring words like family, teamwork, love, kindness, and diversity.
Today, on Spring Giving Day, we celebrate you- and everything these flowers stand for. Every seed truly makes a difference. Each gift given to the Children's Fund today will be a seed added to our dandelion. Will you help it bloom? Click the link in our bio today to learn more and support the Children's Fund. Be sure to comment on this post with a word you would like us to add to our community art project!",may 29 25,0,7,0,y
Primary students patiently observing during a butterfly release  #spring,may 22 25,0,11,0,y
"Looking for a safe and nuturing enviroment for your toddler?  Look no further than the Montessori School of Greater Hartford where we support and cater to each childs indepence, curiosity and love of learning! 
Intrested in touring? Call us today at (860)236-4565!",may 22 25,1,12,3,y
"WOW! A massive thank you to everyone who was able to attend and support our 60th anniversary gala, Blooming Through Time! It was truly amazing to connect with all of our families, friends, alumni, sponsors, previous Heads of School and more! Every ounce of your support directly benefits each child in our care now, and for years to come 
Do you have any photos from the gala you wish to share? Message us or email xareal@msgh.org with your selections!",may 21 25,0,20,0,y
"HAPPY TEACHER APPRECATION WEEK!  We love our talented, passionate and dedicated teachers. Let's show our staff some love and comment below why you love our MSGH teachers or staff!",may 9 25,3,16,0,y
"Exciting news! MSGH is now enrolling toddlers for a Fall 2025 start! Call today at (860) 236-4565 to schedule a tour and learn more the comprehensive Toddler program offered here at MSGH, see you soon!",may 8 25,0,86,0,y
"Be sure to visit us this weekend at our New Hartford campus for a very exciting Adolescent Open House! Learn more about the program, enjoy light refreshments and visit with our new baby goats",apr 29 25,0,2,0,y
"Delicious food, family and friends?  What more could you ask for! We hope everyone had an awesome time at the Multicultural Potluck- it was an honor to celebrate the beautiful cultures that make up the fabric of MSGH.",apr 28 25,0,14,0,y
Outdoor Adolescent math lesson with the new kids!,apr 24 25,2,15,1,y
"April break was a blast! We are delighted to welcome all of our families back to school today. There are so many reasons to celebrate as we continue honoring our 60th Anniversary, make sure to secure your Gala tickets soon!",apr 21 25,0,6,0,y
Early spring vibes on our West Hartford Campus,apr 10 25,0,14,2,y
We can’t get enough of these sweet new babies!  #msgh #montessori #kids #goats,apr 8 25,0,9,0,y
"We are absolutely chirping over all the adorable baby animals at MSGH! Lower Elementary had an awesome morning last week interacting with and caring for baby chicks! And a huge congrats to the Adolescent Program for welcoming new kids (baby goats) born to our resident goats, Rosebud and Fern, over the weekend!",apr 7 25,1,24,3,y
"April showers bring May flowers and we are ready to bloom! Not only are we celebrating our 60th anniversary, we are also gearing up for an exciting celebratory gala on Friday, May 16! Friends, Family and Alumni, reach out to us at events@msgh.org for tickets, sponsorship and more information!",apr 4 25,0,8,0,y
Friends,apr 3 25,0,24,0,y
"Have you heard? Our upcoming 60th Anniversary Gala, Blooming Through Time, will be held at the beautiful Farmington Polo Club! Families, friends and alumni- check your email for invites, tickets and more! Interested in attending but not sure if we have your updated contact information? Reach out to us at events@msgh.org
See you there!",apr 2 25,0,4,0,y
"Spring has sprung and photo day has begun!  MSGH families, make sure to check our weekly bulletin to know when your students photo day is!",mar 26 25,0,7,0,y
"Our Lower Elementary and upper-level Primary students enjoyed honoring Holi- as bright, colorful powder flew into the air, we said farewell to winter! Holi is a Hindu celebration that celebrates the arrival of spring in India and the blossoming of love. It is also an invocation for a good spring harvest season. It is important to celebrate our differences and honor diversity!  
Thank you to our parent and family facilitators!",mar 20 25,0,18,0,y
"Our little hallway library is full of great reads! 
Featured book- When Charley Met Emma by Amy Webb. 
""When Charley goes to the playground and sees Emma, a girl with limb differences who gets around in a wheelchair, he doesn't know how to react at first. But after he and Emma start talking, he learns that different isn't bad, sad, or strange--different is just different, and different is great!
This delightful book will help kids think about disability, kindness, and how to behave when they meet someone who is different from them""
Comment below what books you love reading at home!",mar 19 25,0,2,0,y
Feeling lucky??,mar 17 25,0,11,0,y
Happy Pi (and pie) Day! Math is so cool when brought to life. Fresh pie and chicken coop building,mar 14 25,0,9,0,y
Thank you to all the grandparents who were able to join us yesterday for a wonderful Grandparents Tea! Delicious treats and great conversation were had,mar 12 25,2,12,0,y
"Woodworking at the Adolescent Program! Some students are creating tools, building a new chicken coop or simply studying how fires and charcoal affect our natural world. How cool!  #HandsOnLearning #Montessori #MSGH",mar 5 25,0,9,0,y
"Our Lower Elementary students recently participated in an informative demonstration led by a University of Hartford senior nursing student, focusing on the importance of hygiene and proper handwashing techniques. Following an overview of high touch surfaces and effective handwashing methods, our students applied their newfound knowledge by utilizing a germ simulator to test their skills. Under the blacklight, they were delighted to observe their clean hands, showcasing their mastery of this essential skill. Thank you UHart  @universityofhartford",feb 28 25,0,7,0,y
Concentration & Joy,feb 26 25,0,4,0,y
"MSGH IN THE NEWS! Upper Elementary Students on Channel 8
Over the past several years, MSGH has built a strong partnership with Central Connecticut State University, collaborating with the Music Department, Dance Department, and the Asian American & Pacific Islander (AAPI) Center, all facilitated by Colleen Casey-Nelson, MSGH's Music Director.
Our Upper Elementary students were invited by the AAPI Center to perform the Chinese Lion Dance – SHI WU – at CCSU's Lunar New Year Celebration in New Britain. The room was filled with joy and excitement as our students played their Tiko drums and danced beneath the elaborately decorated lion costumes, a traditional symbol of the celebration. A special thank you to Colleen for fostering our students' curiosity and love for exploration!
Read and watch more via link in bio or visit: https://www.wtnh.com/.../ccsu-students-celebrate-lunar.../",feb 24 25,0,6,0,y
Recent MSGH moments,feb 11 25,0,5,0,y
It was truly a delight to enjoy the company of our MSGH family at Light and Laughter! A heartfelt thank you to everyone who was able to attend—we can’t wait to see you all at our next celebration!,feb 10 25,0,22,0,y
Lunar New Year celebrations around the school  How did you celebrate this year?,feb 5 25,0,8,0,y
Recent MSGH moments,feb 4 25,0,5,0,y
"Our Adolescent students are taking meticulous care of their bread starters! Their recent area of Work and Study focuses on the science, history and practice of bread, dough and yeast. Easy to say this is a very delicious time to be at the farm",jan 27 25,0,6,0,y
"""The child learns everything without knowing he is learning it, and in doing so he passes little by little from the unconscious to the conscious, treading always in the paths of joy and love"" - Dr. Maria Montessori",jan 22 25,0,8,1,y
"Can you spot the baby goats in this ultrasound?  Our goats, Rosebud and Fern, are both expecting! Rosebud has three babies and Fern has two. Thank you Dr. Shawn London for visiting our New Hartford campus to perform an ultrasound.",jan 17 25,0,9,0,y
"Just chillin 



All reactions:77",jan 16 25,0,7,1,y
Throwback Thursday! Moving on Ceremony 2006,jan 9 25,0,6,0,y
"We are so excited to be celebrating our 60TH SCHOOL ANNIVERSARY! Join us as we continue to celebrate and comment below your favorite thing about MSGH 
-
-
Thank you for this parent submitted photo! Do you have any MSGH moments you wish to share? Message us today",jan 8 25,0,14,1,y
"Winter Celebration cuteness! 
Thank you for these parent-submitted photos  do you have some special MSGH moments/photos/videos you would like to share? Message us today!",jan 6 25,0,2,0,y
A little clip from our Winter Celebration sing-a-long! We hope everyone had a fabulous break and very happy holidays!,jan 2 25,0,3,0,y
"Friends! 






All reactions:77",dec 17 24,0,7,0,y
Our students were honored and excited to participate in a cozy PJ day to benefit Connecticut Children’s Medical Center   #CCMS #GiveBack #PJDay,dec 13 24,0,5,0,y
"Thank you, Roaring Brook Nature Center, for joining us for an in-house field trip! Juliet the Eastern Box Turtle and Abbott the Corn Snake were well loved by our Primary communities",dec 9 24,0,7,1,y
"This year, the Adolescent Community organized a food drive, collecting and donating 213 pounds of food to Hands On Hartford for the holidays! A heartfelt thank you to all the MSGH families whose generous contributions helped make this effort a success",dec 6 24,0,4,0,y
"Read our latest blog ""The Second Plane Child"" by our Head of School, Mary McHale!
""The child at age six leaves the first plane and enters the second plane, referred to by Dr. Montessori as the age of the intellect.  Never again in an individual’s life will the power of investigation and imagination be so strong""",dec 6 24,0,1,0,y
Ever wondered what strawberry DNA looks like?? Swipe to see  Our Adolescents take science to a whole new level!,dec 5 24,0,0,0,y
