post_text,timestamp,comments,reactions,shares,has_media
"At the end of every school year, we recognize milestone work anniversaries for faculty. Join us in celebrating Andy Rees and Jenni French for completing 25 years of service to Watkinson.",jun 25 25,5,104,0,y
"ICYMI: Owen R. ’25 was awarded the 2025 Theodore Sizer Award. This award recognizes the student who best exemplifies the qualities of a successful Essential Schools Student: intellectual curiosity, collaboration and responsibility. 
#hartfordct #independentschool #privateschool",jun 24 25,1,10,0,y
"Watkinson School was proud to be a hole sponsor for the Chris Brooke Muscular Dystrophy Golf Tournament, organized by and in honor of Chris Brooke ’90. Pictured left to right are current faculty: John Crosson, Nate Herzog, Mike Cipriani, and Thomas Murphy who joined others from the Watkinson community to support this great cause.",jun 23 25,0,37,0,y
Today on the Colin McEnroe Show!,jun 20 25,0,2,0,y
"As Watkinson approaches the end of the fiscal year on June 30, please know that every generous gift made doesn't just support our current programs, it helps us plan for the future. Watkinson remains a vital institution that shapes young minds and builds tomorrow's leaders, but we can only continue this important work through the partnership of committed supporters like you. 
Please consider a gift to Watkinson before June 30, to help us further our mission of developing in students the power to shape their lives and the world around them! 
If you have any questions about making your gift or would like to discuss other ways to support Watkinson, please don't hesitate to reach out. We are here to help and would love to connect! 
Make your gift here: https://secure.qgiv.com/for/watkinsonschool/",jun 20 25,0,8,0,y
"ICYMI: Connor M. ’25 was awarded the 2025 Howell and Florence Richards Award. This award is given to a student who exhibits the qualities of character, cooperation, courtesy, and thoughtfulness associated with former Watkinson faculty members Howell and Florence Richards.
#hartfordct #independentschool #privateschool",jun 16 25,3,24,0,y
ICYMI: Now you can watch Commencement 2025 anytime you want,jun 14 25,0,6,1,y
"Yesterday, Ms. Martins, Mr. Thomas, and Mr. Eccles took 12 intrepid student travellers to sunny Costa Rica for a week of learning and fun! Bookmark their blog for the week to follow their adventures!",jun 13 25,0,10,0,y
"That moment when Math = .
At the end of the school year, this equation was left on math teacher Daniele Ness‘s whiteboard by her clever students.
 cred: Ms Riemann",jun 12 25,0,9,0,y
"At the end of the school year, English teacher Christina Bernbach received this message from a boy in her “Women, Men, and Power” class (one of many English electives for juniors and seniors).  It beautifully demonstrates the power and importance of the humanities.
“This class has been by far the best class I have ever taken, and it’s not even close. While part of it was definitely the people in the class, and the book, I just had so much fun with your style of teaching and the way it worked with this content. My friends make fun of me at lunch when I sit down and say something along the lines of, “That was the coolest class…oh my gosh, I’m shook,” but it’s true. And I say it after almost every single class. The stuff we talked about always gets me thinking about so much bigger stuff than characters in a book, which is like the whole point of English, and school. You’ve got me thinking about the way people treat each other and why that is, and it’s totally translated to my own relationships with people, and the way I act and think.” 
#hartfordct #independentschool #privateschool #humanities",jun 11 25,7,79,0,y
"ICYMI: Gabriela R-L. ’25 was awarded the 2025 Timothy Goodrich Award. This award is given to a student who has made outstanding contribution to the life and spirit of the school through qualities of tolerance, cooperation, leadership, generosity, and strong character.
#hartfordct #independentschool #privateschool",jun 10 25,0,21,1,y
Join us in congratulating Rae Goldstein on her retirement after 27 years of educating Watkinson students! She was recognized and celebrated at an All-School Meeting last week.,jun 9 25,27,109,0,y
"Come see us at celebrate West Hartford today!
#celebratewesthartford",jun 8 25,0,23,1,y
A fun tradition at Watkinson: the annual faculty lip sync video! A gift to the graduating class.  Enjoy!,jun 7 25,11,53,4,y
"Congratulations to Watkinson’s Class of 2025!
#hartfordct #independentschool #privateschool",jun 6 25,0,95,2,y
"The Advanced and Independent Advanced Ceramics final exam:  a tea party!
#hartfordct #independentschool #privateschool #3Dart #ceramics #teaparty",jun 5 25,0,45,0,y
