post_text,timestamp,comments,reactions,shares,has_media
"When it’s this hot … we could all use some lemonade! 
#EMSSummerProgram",jun 25 25,0,11,0,y
The Prepared Environment ... is so prepared!,jun 24 25,0,3,0,y
"Congratulations to our 2025 winner of the Michael Buda Scholarship. The Buda scholarship is awarded annually to a 6th Year student transitioning from Enfield Montessori and going to Chiaravalle Academy. Students are asked to write an essay explaining how they understand one of our Core Values. MP, pictured here with Ellen & Don Buda and her parents, wrote a stirring piece about Compassion, values we see in her everyday.  So well deserved!  Congratulations and thank you Buda family.",jun 12 25,4,35,0,y
Summer is coming!,jun 11 25,1,8,0,y
Our toddlers have been learning about the lifecycle of ladybugs and today had fun letting them go enjoy the colorful plants outside.,jun 2 25,1,6,0,y
"Thank you for the multiple K-9 teams from across the state that spent time with all the children today. These teams are amazing!





+28


All reactions:2525",jun 2 25,0,25,0,y
"HUGE Tag Sale this morning at Enfield Montessori School, 1325 Enfield Street! Entrance is from South Road.",jun 1 25,0,1,0,y
"As part of the 60th Anniversary of the school, and the 150th Anniversary for the Sisters, we shared a celebratory Mass last week in the beautiful Our Lady of the Angels Chapel.",may 30 25,0,13,0,y
"The world is at your feet, tiny explorers!",may 30 25,0,20,1,y
Field Day was so much fun on this beautiful day!,may 27 25,0,24,1,y
Teacher Appreciation Week has been oh so sweet!,may 9 25,0,10,0,y
From the garden… #hydroponics,may 9 25,0,4,0,y
"The most effective way to do it, is to do it. ~ Amelia Earhart
These are just some of our awesome ‘big kids’ !",may 7 25,0,7,0,y
"Spending our day with #LevoInternational today, supporting their efforts to create environmentally and operationally sustainable solutions to growing fresh food… and learning some great skills along the way.",may 6 25,0,12,0,y
Amazing child creativity capturing one of history's most iconic scenes ...,may 2 25,0,8,1,y
Self Portraits :)),apr 29 25,0,12,0,y
Thank you #enfieldfoodshelf  for joining us on Friday in our Walk Against Hunger.,apr 29 25,0,8,1,y
We had such a lovely Walk Against Hunger! Thank you for all your support!,apr 29 25,0,8,0,y
New lessons this week!,apr 23 25,0,8,0,y
Beautiful celebration of the Liturgy of the Light today. We begin in darkness and turn our attention to the Easter Candle from which each child receives the light of the Risen Christ!,apr 23 25,0,10,0,y
"It's time for a Golf Tournament!
May 17, 2025 at Suffield Country Club!
For more information and to register: https://e.givesmart.com/s/:v39SYKybGw9/e/I9L/",apr 22 25,0,2,1,y
"What do the children do all day? Well, there’s snack time, outdoor play, time to feed the chickens, visit the greenhouse, sing, play, and there are all these wonderful materials to work with to explore concepts in math, geology, language, botany, life skills and so much more…",apr 22 25,0,12,1,y
"Peninsula, gulf, multiples of 10 ... all in a day's work 




All reactions:55",mar 31 25,0,5,0,y
"The work of water begins with a series of science lessons and experiments about the water cycle, the properties of water, how rivers flow, and erosion by water. Beautiful illustrations here.",mar 25 25,0,5,0,y
"New lessons that we love! 
“Learning never exhausts the mind” ~ Einstein







All reactions:44",mar 17 25,0,4,0,y
